clés;fr
You won the game !;Vous avez terminé le jeu !
Meet the Mysterious Person is the Restricted Area;Rencontrer la Personne Mystère dans la Zone à Accès Restreint
Read your first message on your phone;Lire  votre premier message sur votre téléphone
Mysterious Person;Personne Mystère
Hello, player;Bonjour, Joueur
[p]Congratulations, you have read your first message ![/p][p]Now meet me in the Restricted Area[/p];[p]Félicitations, vous avez lu votre premier message ![/p][p]Maintenant venez me voir dans la Zone à Accès Restreint[/p]
Main Quest;Quête Principale
Find an access card;Trouver une carte d'accès
Find where to get an access card;Découvrir où trouver une carte d'accès
Use the access card;Utiliser la carte d'accès
Give a sandwich or a burger with ham to the Administrator;Donnez un sandwich ou un burger avec du jambon à l'Administratrice
You need an access card;Vous avez besoin d'une carte d'accès
Administrator;Administratrice
