clés;fr
Grilled ham sandwich;Croque monsieur au jambon
Credit;Crédit
Access Card;Carte d'accès
Orange;Orange
Chorizo pizza;Pizza au chorizo
Cherry soft drink;Boisson gazeuse aux cerises
Box;Carton
Ring;Bague
Burger;Hamburger
Ham sandwich;Sandwich au jambon
Pickle;Cornichon
Ham sandwich with pickles;Sandwich au jambon et cornichons
Bread;Pain
It's not a sandwich but a croque monsieur;Ce n'est pas un sandwich mais un croque monsieur
This sandwich is appetizing but I prefer it with pickles.;Ce sandwich est appétissant mais je préfère avec des cornichons
Well, I'm off in search of pickles to put in that sandwich.;Bien je vais partir en quête de cornichons à mettre dans ce sandwich
Crowbar;Pied de biche
